,0,1
Temperature,-0.15445511914940652,0.006990515901429791
Noise,-0.07615894298740968,0.00700492282153885
Stormwind,-0.1563914823055307,0.007878888704259901
Respiratory,-0.14800873993854352,-0.011635761620414456
Exercises,-0.16208617036601874,-0.0003806098068870642
Culture,-0.04550439013316019,0.00881620114706321
Beauty,-0.19796961667785237,-0.0012069882779817856
Education,-0.17984311395007466,0.008345565782577814
Society,-0.16523244764182207,-0.011179747262609863
Spirit,-0.1938278638629291,-0.01479224672248243
Dirty,0.662990083180058,0.026367956173616355
Unsafe,0.6446258846820032,-0.0004123561994046179
Danger,0.7399178159934315,-0.028168947040193765
