,Beta (B),P-value,Odds Ratio EXP(B),Significance
Rooftop,3.0756,0.0079,21.6626,**
Frequency_4,5.5916,0.0129,268.1578,*
Career_6,9.1882,0.0176,9781.3356,*
Career_4,6.1367,0.022,462.5281,*
Career_3,7.1144,0.0315,1229.5645,*
Income,0.011,0.0387,1.0111,*
MEAN CES,2.9215,0.0495,18.5696,*
Garden,-2.2436,0.0545,0.1061,
const,-22.5952,0.0608,0.0,
Transportation_3,4.0109,0.0812,55.1958,
Nature,-1.545,0.1226,0.2133,
Frequency_5,2.4568,0.1369,11.668,
MEAN DES,-0.5645,0.188,0.5686,
Frequency_3,2.0046,0.2622,7.4228,
Gender_2,1.6345,0.2689,5.1269,
Transportation_5,8.8139,0.2931,6726.8423,
MEAN RES,-0.8526,0.3366,0.4263,
Recreation,-0.5931,0.3811,0.5526,
Agriculture,0.6439,0.4038,1.904,
Distance_2,1.3034,0.4172,3.6819,
Park,0.7798,0.431,2.181,
Transportation_4,2.0649,0.4405,7.8846,
Time_4,1.74,0.5326,5.6971,
Distance_4,-1.2593,0.5443,0.2838,
Distance_3,1.2619,0.6309,3.532,
Literacy_3,-3.3014,0.6631,0.0368,
Frequency_2,0.683,0.7017,1.9799,
Career_5,1.4116,0.7259,4.1024,
Literacy_2,-2.6458,0.7276,0.071,
Time_5,-0.8678,0.7459,0.4199,
Residential,0.3326,0.7564,1.3946,
Career_2,0.7339,0.7868,2.0831,
Time_3,-0.7335,0.7979,0.4802,
Literacy_6,1.6746,0.8247,5.3367,
Transportation_2,0.3599,0.8906,1.4332,
Literacy_4,-0.8905,0.9037,0.4105,
Distance_5,-0.1975,0.933,0.8208,
Time_2,0.2227,0.9368,1.2494,
Literacy_5,-6.5281,0.978,0.0015,
