,Beta (B),P-value,Odds Ratio EXP(B),Significance
const,241.6608,,8.952878165232437e+104,
Income,-0.9832,,0.3741,
MEAN RES,-6.4358,,0.0016,
MEAN CES,72.6282,,3.4836963617736678e+31,
MEAN DES,-95.8865,,0.0,
Park,-50.6859,,0.0,
Residential,258.3765,,1.6273086710804255e+112,
Garden,-10.3217,,0.0,
Rooftop,-133.4091,,0.0,
Recreation,-20.842,,0.0,
Agriculture,0.7005,,2.0148,
Nature,-82.9613,,0.0,
Gender_2,-102.1304,,0.0,
Career_2,221.4766,,1.534848675005764e+96,
Career_3,85.8488,,1.9215803519284693e+37,
Career_4,29.8107,,8843571707594.404,
Career_5,-19.9903,,0.0,
Career_6,271.5147,,8.266885235464909e+117,
Literacy_2,-45.5232,,0.0,
Literacy_3,74.167,,1.6230180759688443e+32,
Literacy_4,-130.4477,,0.0,
Literacy_5,41.9698,,1.6875893967463475e+18,
Literacy_6,239.8173,,1.4168061493135717e+104,
Frequency_2,-64.3464,,0.0,
Frequency_3,129.1509,,1.2289014711896098e+56,
Frequency_4,16.8335,,20449449.0163,
Frequency_5,90.1682,,1.4439203359332122e+39,
Distance_2,121.504,,5.868283849671952e+52,
Distance_3,-19.3408,,0.0,
Distance_4,-8.0289,,0.0003,
Distance_5,106.1989,,1.3231308267100774e+46,
Time_2,123.4271,,4.015015109349733e+53,
Time_3,293.3949,,2.628883873565357e+127,
Time_4,172.2575,,6.463889160702152e+74,
Time_5,91.6604,,6.420867256078891e+39,
Transportation_2,86.2789,,2.9541644055797275e+37,
Transportation_3,-67.1359,,0.0,
Transportation_4,-197.7757,,0.0,
Transportation_5,135.1477,,4.941998234455287e+58,
