,Beta (B),S.E.,P-value,Odds Ratio EXP(B),Significance
MEAN DES,-0.8867,0.2551,0.0005,0.412,***
Income,-0.0043,0.0013,0.0014,0.9957,**
Distance,-0.5634,0.2603,0.0304,0.5693,*
Gender_2,-1.3185,0.6722,0.0498,0.2675,*
Career_3,2.368,1.2758,0.0634,10.6761,.
Time,0.4763,0.2988,0.1109,1.6102,
MEAN CES,1.0088,0.6344,0.1118,2.7424,
Career_6,1.5794,1.0681,0.1392,4.8522,
Literacy,0.3354,0.2392,0.1609,1.3985,
Transportation_3,1.0788,0.7888,0.1714,2.9412,
Transportation_2,1.2746,1.0966,0.2451,3.5774,
Career_4,0.8155,0.8725,0.3499,2.2603,
Career_2,0.7601,1.131,0.5015,2.1386,
Frequency,0.1342,0.2411,0.5777,1.1437,
MEAN RES,-0.335,0.605,0.5798,0.7153,
Transportation_4,0.5981,1.2565,0.6341,1.8186,
const,-0.0729,2.8797,0.9798,0.9297,
