,Beta (B),P-value,Odds Ratio EXP(B),Significance
Income,-0.017,0.0117,0.9832,*
MEAN DES,-5.6329,0.0249,0.0036,*
Gender_2,-7.432,0.027,0.0006,*
Time_4,5.816,0.0298,335.6267,*
Time_3,5.3233,0.0298,205.0572,*
const,27.0847,0.0353,579100469868.4305,*
Distance_4,-8.7398,0.0361,0.0002,*
Rooftop,-5.4289,0.0401,0.0044,*
Time_5,5.3394,0.0409,208.3824,*
Distance_2,6.5306,0.0559,685.8324,
Frequency_4,-5.2178,0.0633,0.0054,
Residential,5.1802,0.0838,177.7147,
Time_2,4.0494,0.1046,57.3616,
Frequency_2,-3.975,0.1085,0.0188,
Distance_3,-7.5816,0.1122,0.0005,
MEAN CES,3.2436,0.1387,25.6258,
MEAN RES,-1.1166,0.2921,0.3274,
Distance_5,-2.7017,0.3015,0.0671,
Park,-0.7466,0.427,0.474,
Frequency_5,-1.4957,0.5301,0.2241,
Frequency_3,1.1843,0.6466,3.2683,
Garden,0.3512,0.7775,1.4208,
Recreation,-0.2539,0.8091,0.7758,
