,Beta (B),P-value,Odds Ratio EXP(B),Significance
Income,-2.8338,,0.0588,
MEAN RES,48.1663,,8.286505072393699e+20,
MEAN CES,-76.1806,,0.0,
MEAN DES,-526.8965,,0.0,
Park,248.7626,,1.0869776475523444e+108,
Residential,640.3286,,1.2336668793552433e+278,
Garden,-72.3975,,0.0,
Rooftop,-315.0215,,0.0,
Recreation,-154.3187,,0.0,
Agriculture,187.0536,,1.7232967765552025e+81,
Nature,-245.4922,,0.0,
Gender_2,-839.4743,,0.0,
Career_2,859.4998,,inf,
Career_3,297.7703,,2.0893254878873172e+129,
Career_4,66.9201,,1.1562405239310425e+29,
Career_5,-83.3945,,0.0,
Career_6,1086.722,,inf,
Literacy_2,-283.0314,,0.0,
Literacy_3,224.4999,,3.1555822056480755e+97,
Literacy_4,-346.8743,,0.0,
Literacy_5,-43.1503,,0.0,
Literacy_6,852.4063,,inf,
Frequency_2,-517.3563,,0.0,
Frequency_3,784.8878,,inf,
Frequency_4,107.516,,4.938524666347628e+46,
Frequency_5,177.2764,,9.775622061244049e+76,
Distance_2,699.6584,,7.207639799224717e+303,
Distance_3,-293.3604,,0.0,
Distance_4,-263.5867,,0.0,
Distance_5,878.1242,,inf,
Time_2,537.512,,2.7448363654811603e+233,
Time_3,1220.1209,,inf,
Time_4,862.3738,,inf,
Time_5,821.0535,,inf,
Transportation_2,545.895,,1.1999777427858181e+237,
Transportation_3,-10.0038,,0.0,
Transportation_4,-849.1301,,0.0,
Transportation_5,445.7974,,4.0490831821011e+193,
